MW Drug,MW Sol,ALOGPS 2.1 solubility,minVSLgS 3-7.5,CLogP,HBA,HBD,PSA,Ro5,PSDA,Fa,predicted Fa,,0.00074222,0.00025154,-0.17893897,0.02243682,-0.02528684,0.02763966,-0.03970349,-0.00122711,-0.19992989,0.00098543,,,,,
645.62,645.62,-0.64,3.3,-6.66,19,14,351.8,3,1.84,0.01,-0.061757365,,0.479190117,0.162398591,0.114520941,0.074096476,0.168410354,0.52515354,-0.55584886,-0.431697298,-0.59978967,0.001808444,,Average of Actual Fa value,,,Average of Predicted Fa value
336.43,336.43,-3.27,-1.46,1.71,5,3,97.05,0,3.47,0.9,0.746948129,,0.249708682,0.084626825,0.585130432,-0.032690222,-0.043240496,0.1381983,-0.11911047,-0.119091026,0,0.003416105,,0.81,,,0.749045035
151.17,151.17,-1.55,-1.66,0.49,2,2,55.41,0,2.73,1,0.288509003,,0.112198748,0.038024404,0.277355404,-0.03724557,-0.012390552,0.05527932,-0.07940698,-0.067994165,0,0.002688394,,,,,
225.21,225.21,-1.41,-2.68,-2.42,6,3,112.32,0,2.01,0.23,0.388057824,,0.167154305,0.056648964,0.252303948,-0.060117889,0.061194153,0.16583796,-0.11911047,-0.137828995,0,0.001975848,,,,,
416.53,416.53,-3.22,-4.12,2.13,6,0,77.73,0,5.36,1,0.919462406,,0.309155108,0.10477335,0.576183483,-0.092523836,-0.053860969,0.16583796,0,-0.09538326,0,0.005280571,,,Accuracy = 0.749045 / 0.81 * 100,,
136.11,136.11,-0.81,-1.18,0.63,3,2,70.47,0,1.93,0.9,0.156764724,,0.101026407,0.034238073,0.144940566,-0.026450543,-0.015930709,0.08291898,-0.07940698,-0.086474442,0,0.001903372,,,,,
308.77,308.77,-3.98,-3.68,2.56,3,0,33.27,0,9.28,0.92,0.922898664,,0.229177466,0.07766875,0.712177101,-0.082628974,-0.06473431,0.08291898,0,-0.04082595,0,0.009145601,,,Accuracy = 92.67282 %,,
249.36,249.36,-3.09,-0.86,2.65,3,2,46.24,0,5.39,0.93,0.666550115,,0.185077055,0.062723023,0.552921417,-0.019245766,-0.067010126,0.08291898,-0.07940698,-0.056741566,0,0.005314077,,,,,
151.25,151.25,-3.23,2,2,1,1,27.97,0,5.41,0.95,0.681577354,,0.112263514,0.038046353,0.577972873,0.044925469,-0.05057368,0.02763966,-0.03970349,-0.034322267,0,0.005328921,,,,,
645.32,645.32,-5.14,-5.4,8.95,3,0,37.97,2,17,1,0.866844565,,0.478972068,0.162324693,0.919746306,-0.121095107,-0.226317218,0.08291898,0,-0.046593367,-0.39985978,0.016747991,,,,,
369.49,369.49,-3.1,-1.3,1.8,6,2,107.55,0,3.44,1,0.805031867,,0.274240225,0.092940619,0.554710807,-0.029180879,-0.045516312,0.16583796,-0.07940698,-0.13197892,0,0.003385347,,,,,
277.41,313.86,-4.79,-2.29,4.85,1,0,1.18,0,235.1,0.95,1.225918199,,0.205901484,0.078949401,0.857117666,-0.051271275,-0.122641174,0.02763966,0,-0.00144799,0,0.231670426,,,,,
408.89,408.89,-4.72,-1.79,3.43,5,2,105.47,0,3.88,0.95,1.057277272,,0.303483107,0.102851096,0.844591938,-0.040103348,-0.086733861,0.1381983,-0.07940698,-0.129423292,0,0.003820311,,,,,
365.41,365.41,-2.58,-0.47,-1.87,6,4,143.96,0,2.54,0.93,0.694423065,,0.2712153,0.091915465,0.461662543,-0.010527176,0.047286391,0.16583796,-0.15881396,-0.176654756,0,0.002501298,,,,,
924.1,924.1,-4.04,-6.4,-3.65,17,12,347.83,3,2.66,0.05,0.559440742,,0.685887254,0.232448708,0.722913439,-0.143540678,0.092296966,0.46987422,-0.47644188,-0.426825671,-0.59978967,0.002618055,,,,,
349.41,349.41,-2.75,-0.42,-1.2,5,3,121.09,0,2.89,0.65,0.733562273,,0.259340226,0.087890976,0.492082168,-0.009435894,0.030344208,0.1381983,-0.11911047,-0.14859075,0,0.00284351,,,,,
188.23,188.23,-0.7,-1.79,0.2,2,0,22.02,0,8.55,0.97,0.303693289,,0.13970888,0.047347648,0.125257279,-0.040245148,-0.005057368,0.05527932,0,-0.027020962,0,0.00842364,,,,,
266.34,266.34,-2.81,-0.16,-0.11,4,3,92.48,0,2.88,0.5,0.647418472,,0.197685131,0.066995928,0.502818506,-0.003665728,0.002781552,0.11055864,-0.11911047,-0.113483133,0,0.002838045,,,,,
255.36,255.36,-4.81,-1.14,3.94,2,1,23.68,0,10.78,1,0.986461315,,0.189535541,0.064234014,0.860696446,-0.02551919,-0.09963015,0.05527932,-0.03970349,-0.029057965,0,0.01062679,,,,,
366.85,366.85,-5.7,-5.06,6.35,3,1,59.1,1,6.21,0.06,0.887373523,,0.272281871,0.092276928,1.019952129,-0.113446171,-0.160571434,0.08291898,-0.03970349,-0.072522201,-0.19992989,0.006116801,,,,,
289.38,289.38,-2.06,-0.96,1.3,3,1,50.8,0,5.7,0.98,0.588206477,,0.214781961,0.072790082,0.368614278,-0.02159867,-0.032872892,0.08291898,-0.03970349,-0.062337188,0,0.005613416,,,,,
749,749,-3.15,-3.15,2.64,13,5,186.17,2,4.02,0.6,0.706931645,,0.555925556,0.188404401,0.563657756,-0.070750698,-0.066757258,0.35931558,-0.19851745,-0.228451069,-0.39985978,0.003964606,,,,,
435.44,435.44,-3.34,1.07,0.34,11,4,213.2,1,2.04,0.01,0.731446552,,0.323190154,0.109529858,0.59765616,0.023982717,-0.008597526,0.30403626,-0.15881396,-0.261619852,-0.19992989,0.00201263,,,,,
307.44,307.44,-4.01,-1.66,2.32,4,2,55.03,0,5.59,1,0.896272915,,0.22818569,0.077332635,0.71754527,-0.03725432,-0.058665469,0.11055864,-0.07940698,-0.067527863,0,0.005505313,,,,,
311.47,311.47,-4.86,-1.93,4.94,2,1,23.73,0,13.13,1,1.010254095,,0.231180288,0.078347511,0.869643394,-0.043391015,-0.12491699,0.05527932,-0.03970349,-0.02911932,0,0.012934397,,,,,
316.16,316.16,-3.9,-3.47,1.7,3,1,52.4,0,6.03,0.84,0.876017183,,0.234659756,0.07952671,0.697861983,-0.077904229,-0.042987628,0.08291898,-0.03970349,-0.064300564,0,0.005945665,,,,,
430.55,430.55,-3.98,-4.71,2.91,6,2,99.25,0,4.34,1,0.929646073,,0.319559949,0.108299574,0.712177101,-0.10572095,-0.073584704,0.16583796,-0.07940698,-0.121790668,0,0.004274792,,,,,
307.39,307.39,-2.8,-1.23,2.93,5,0,46.76,0,6.57,1,0.792199438,,0.228153307,0.07732166,0.501029116,-0.027510907,-0.074090441,0.1381983,0,-0.057379664,0,0.006478066,,,,,
364.42,364.42,-4.14,-3.55,3.37,5,3,130.02,0,2.8,0.9,0.80049261,,0.270482299,0.091667049,0.740807336,-0.079548399,-0.085216651,0.1381983,-0.11911047,-0.159548842,0,0.002761988,,,,,
288.44,288.44,-3.49,-3.53,3.69,2,1,33.72,0,8.55,0.9,0.721144879,,0.214083458,0.072553357,0.624497005,-0.079307428,-0.09330844,0.05527932,-0.03970349,-0.041378149,0,0.008429245,,,,,
246.3,246.3,-1.68,-1.2,-0.59,4,0,92.04,0,2.68,0.94,0.533641953,,0.182810924,0.061955026,0.30061747,-0.02691319,0.014919236,0.11055864,0,-0.112943204,0,0.002637052,,,,,
194.19,194.19,-1.26,-1.95,-0.04,3,0,48.5,0,4,1,0.403048365,,0.144135042,0.048847685,0.225463102,-0.043758754,0.001011474,0.08291898,0,-0.059514835,0,0.003945672,,,,,
217.29,217.29,-1.67,-1.04,0.89,3,2,60.28,0,3.6,0.84,0.40196017,,0.161276093,0.054656825,0.29882808,-0.023389487,-0.022505288,0.08291898,-0.07940698,-0.073970191,0,0.003552138,,,,,
371.26,371.26,-1.51,0.94,-0.34,2,2,149.65,0,2.48,0.77,0.463452004,,0.275559225,0.093387631,0.270197845,0.021029717,0.008597526,0.05527932,-0.07940698,-0.183637012,0,0.002444733,,,,,
406.49,406.49,-4.99,-4.3,4.04,5,3,78.42,0,5.18,0.65,1.026090323,,0.301701905,0.102247443,0.89290546,-0.096571439,-0.102158834,0.1381983,-0.11911047,-0.096229966,0,0.005107923,,,,,
363.39,363.39,-2.97,0.14,-2.51,6,4,143.96,0,2.52,1,0.792014194,,0.269719029,0.091408376,0.531448741,0.003111336,0.063469968,0.16583796,-0.15881396,-0.176654756,0,0.002487499,,,,,
454.51,454.51,-2.96,-1.36,-1.19,9,2,156.53,0,2.9,1,0.961102148,,0.337347065,0.114327667,0.529659351,-0.030455066,0.03009134,0.24875694,-0.07940698,-0.192079528,0,0.00286136,,,,,
480.57,480.57,-4.49,-0.27,-3.05,8,2,152.65,0,3.15,0.96,1.309618951,,0.356687426,0.120882158,0.803435975,-0.006005731,0.077124862,0.22111728,-0.07940698,-0.187318342,0,0.003102302,,,,,
453.46,453.46,-3.63,0.91,0.25,10,4,193.48,0,2.34,0.5,0.996648751,,0.336563556,0.114062134,0.649548461,0.020325381,-0.00632171,0.2763966,-0.15881396,-0.237421243,0,0.002309533,,,,,
554.59,554.59,-3.72,0.31,0.02,12,4,216.88,2,2.56,0.01,0.732588002,,0.411624494,0.139500452,0.665652968,0.00692941,-0.000505737,0.33167592,-0.15881396,-0.266135617,-0.39985978,0.002519851,,,,,
424.39,424.39,-3.18,-1.76,0.23,7,3,179.19,0,2.37,0.44,0.802203545,,0.314992171,0.106751544,0.569025925,-0.039565313,-0.005815973,0.19347762,-0.11911047,-0.219885841,0,0.002333883,,,,,
347.4,347.4,-3.08,-0.28,-1.84,5,3,121.09,0,2.87,1,0.810025402,,0.257843955,0.087383887,0.551132028,-0.006186437,0.046527786,0.1381983,-0.11911047,-0.14859075,0,0.002827104,,,,,
349.41,349.41,-2.66,-0.07,-1.73,5,3,121.09,0,2.89,1,0.738709111,,0.259340226,0.087890976,0.47597766,-0.001586575,0.043746233,0.1381983,-0.11911047,-0.14859075,0,0.00284351,,,,,
459.56,459.56,-5,-2,3.56,6,3,104.98,0,4.38,1,1.138688889,,0.341096835,0.115598472,0.89469485,-0.044899442,-0.09002115,0.16583796,-0.11911047,-0.128822008,0,0.004313842,,,,,
304.22,304.22,-3.6,-0.27,3.63,3,1,41.7,0,7.3,1,0.847882857,,0.225797448,0.076523255,0.644180292,-0.006061038,-0.091791229,0.08291898,-0.03970349,-0.051170487,0,0.007189126,,,,,
323.13,323.13,-2.84,-2.79,1.28,5,3,122.11,0,2.65,0.9,0.606204817,,0.23983703,0.0812813,0.508186675,-0.062586163,-0.032367155,0.1381983,-0.11911047,-0.149842402,0,0.002607703,,,,,
299.76,299.76,-4.18,-2.65,3.79,3,1,45.94,0,6.53,0.01,0.883773429,,0.222489708,0.075402254,0.747964895,-0.059518377,-0.095837124,0.08291898,-0.03970349,-0.056373433,0,0.006430016,,,,,
319.88,319.88,-4.28,-1.17,5.06,3,1,25.69,1,12.45,1,0.753612055,,0.237422091,0.080462872,0.765858792,-0.026211591,-0.12795141,0.08291898,-0.03970349,-0.031524456,-0.19992989,0.012270158,,,,,
274.8,274.8,-3.69,-1.57,3.15,2,0,11.42,0,24.06,0.94,0.883562844,,0.203959258,0.069122244,0.660284799,-0.035127758,-0.079653546,0.05527932,0,-0.014013596,0,0.023712123,,,,,
318.87,318.87,-4.88,-2.69,5.3,2,0,1.75,1,182.21,1,1.028518385,,0.236672716,0.080208907,0.873222174,-0.060324532,-0.134020252,0.05527932,0,-0.002147443,-0.19992989,0.179557385,,,,,
